TEAM_ABBREVIATION,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK
HOU,109.45593525179856,39.09082733812949,85.89568345323741,0.4560395683453237,12.134892086330936,34.50359712230216,0.3518929856115108,19.139388489208635,25.43615107913669,0.7547652877697841,10.89568345323741,32.77248201438849,43.6681654676259,22.7455035971223,15.038669064748202,8.143884892086332,4.819244604316546
IND,105.93884892086331,39.68884892086331,85.90287769784173,0.4624487410071943,9.360611510791367,25.87589928057554,0.36009982014388486,17.200539568345324,22.16726618705036,0.7758480215827338,10.323741007194245,33.02068345323741,43.344424460431654,23.472122302158272,14.177158273381295,7.720323741007194,5.344424460431655
LAC,108.40557553956835,39.79136690647482,84.46492805755396,0.47192985611510796,10.302158273381295,27.690647482014388,0.3683687050359712,18.52068345323741,24.680755395683452,0.7536519784172662,10.107014388489208,33.259892086330936,43.36690647482014,23.574640287769785,13.902877697841726,7.7571942446043165,4.823741007194244
LAL,106.78937893789379,39.753375337533754,86.16471647164717,0.46182718271827183,9.324032403240324,26.722772277227723,0.3464491449144914,17.95859585958596,24.10801080108011,0.7446363636363637,10.510351035103511,33.891989198919894,44.402340234023406,23.421242124212423,14.613861386138614,7.3861386138613865,5.048604860486049
MEM,103.49685534591195,39.01976639712489,85.87061994609165,0.455151841868823,8.300089847259658,23.92003593890386,0.3428760107816711,17.157232704402517,22.480682839173404,0.7641374663072776,11.293800539083557,32.16262353998203,43.45642407906559,23.02785265049416,13.91644204851752,8.530098831985624,5.16711590296496
MIA,104.4492362982929,38.517520215633425,82.27133872416891,0.4695462713387242,9.900269541778975,27.31895777178796,0.3605534591194968,17.51392632524708,22.858041329739443,0.7661446540880503,9.395327942497754,32.62443845462713,42.01976639712489,22.9748427672956,14.191374663072777,7.722371967654986,4.722371967654986
MIL,107.09074573225517,39.95507637017071,86.10332434860737,0.46457861635220127,10.039532794249775,27.73674752920036,0.3594654088050314,17.141060197663972,22.561545372866128,0.7590170709793351,10.409703504043126,33.905660377358494,44.315363881401616,23.8607367475292,14.30188679245283,7.7879604672057505,5.242587601078167
MIN,107.09329710144928,39.40036231884058,86.3143115942029,0.45745471014492756,9.14945652173913,26.04981884057971,0.3474782608695652,19.143115942028984,24.70018115942029,0.7747572463768115,11.077898550724637,32.06521739130435,43.143115942028984,23.596920289855074,14.55163043478261,8.159420289855072,4.880434782608695
NJN,93.6891891891892,35.0,80.79729729729729,0.43461486486486484,6.527027027027027,19.04054054054054,0.34044594594594596,17.16216216216216,22.39189189189189,0.7714324324324324,11.432432432432432,29.18243243243243,40.61486486486486,20.5,14.506756756756756,6.425675675675675,4.351351351351352
NOH,93.10434782608695,35.64782608695652,78.7304347826087,0.4538086956521739,5.3826086956521735,15.143478260869566,0.3534782608695652,16.42608695652174,21.434782608695652,0.7694826086956521,11.02608695652174,29.934782608695652,40.96086956521739,20.782608695652176,14.28695652173913,7.095652173913043,4.8478260869565215
