,TEAM_ID,GAME_ID,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG
PF,0.02385485591527556,-0.06271801606193526,,0.020474547378316478,0.004182610306037282,0.021050168427667385,0.007905977857112268,-0.007349158785449807,0.025097937269973395,0.16964726448536502,0.1822341324558972,-0.003980516181911026,0.01873170159760902,-0.04285664687591921,-0.02494087136214284,-0.023200838290136697,0.14011438059369147,0.014541038135363936,-0.0019553117175484885,-0.0028141263958834603,1.0,0.24366928734853976,0.09476097776552776,-0.028181107804727785,,0.09225143623866909,0.09225143623866909,0.09225143623866909,0.07146691099683057,-0.03643978705406447,-0.012462996930101443,-0.030922379335975275,-0.04024837973098944,-0.028464171641746597,-0.029882213053379875,-0.1609233719344985,-0.17023552662887478,-0.00169322026600936,-0.015093883756384166,0.04528647428183579,0.03090541003102821,0.005219521968615481,0.12932599741788758,-0.011278732250725091,-0.0009183577926214762,0.0006540054177329118,0.9657666903621708,-0.2200347725841356,-0.11807203545566058,0.03761348410954289,
PFD,0.006246964253431449,-0.05000509367635121,,-0.16154641846278078,-0.183076029393698,-0.050079975095406674,-0.11900773777448231,-0.09302151896604664,-0.07512662971826949,0.6886905896292035,0.7575896909597402,-0.05011757174555987,0.06024280589744124,-0.03374473542717861,0.007395921836679351,-0.13271096044393813,0.07135551229712725,0.021768365789215816,-0.005232863240744732,0.0035044888826977713,0.24366928734853976,1.0,0.13997288856866796,0.03473392968629449,,-0.0861616778588348,-0.0861616778588348,-0.0861616778588348,0.06329193989415689,0.1537075155599087,0.18626378506331334,0.040116298948807146,0.10835274234822502,0.09033575857082278,0.06847890156567757,-0.6754877701312799,-0.7391064980701008,0.049716002778154175,-0.05846836118294088,0.03725983899373226,-0.002339918290034624,0.11652311104633233,0.06040516762690795,-0.0178494022405111,-0.0010789007401236941,0.007242978648484574,0.22066216599711155,-0.9698784878906666,-0.1632718789104022,-0.04340400119693125,
PTS,-0.045428788681706085,0.41223120193397833,,0.8505172216866926,0.328980591885949,0.7075771790595716,0.5875550789934273,0.37654162293641247,0.4650949306653845,0.28934385855481204,0.227453425566428,0.19103247197446668,-0.021004549201957077,0.11900171128119555,0.08768065582563275,0.5838528662947917,-0.15790062911116912,0.05192003361441661,0.045451388475263796,-0.12596659236768407,0.09476097776552776,0.13997288856866796,1.0,0.5081441874108996,,-0.4336739202564131,-0.4336739202564131,-0.4336739202564131,-0.23586721317057846,-0.7415368051395678,-0.1986641148002187,-0.660121742353096,-0.42443607487479457,-0.14059050303174736,-0.4642767464027969,-0.28662622841804114,-0.24503088463652872,-0.1580613290423253,-0.020021588729145674,-0.06899240375248587,-0.06279398547825005,-0.4864170471755823,-0.14323377548130783,-0.0801033538436934,-0.05746148181803635,-0.13665524669635568,0.09814950178903659,-0.17013100723562002,-0.888615053214187,-0.5131747888534447,
PLUS_MINUS,-0.038968501250666976,-0.025769775679709294,,0.469526642009808,-0.019452991013745136,0.5294331669700647,0.27532072161368654,0.026921420090207645,0.391726700823289,0.09675147582471597,0.05200110462314752,0.1254376969396363,-0.011529332964050787,0.41952958688643033,0.34626190409396634,0.356258231997407,-0.12353306734556449,0.15359197569396607,0.16736749716533378,-0.17268369299184852,-0.028181107804727785,0.03473392968629449,0.5081441874108996,1.0,,-0.8264882918805402,-0.8264882918805402,-0.8264882918805402,0.01597234565876518,-0.4947009782487317,0.011392388837209404,-0.5296522366767537,-0.32058201881554665,-0.055666988123042306,-0.3909706428835967,-0.0960878180145399,-0.049867892393261275,-0.124239247640602,0.01091204203502486,-0.42480316956293745,-0.3453385684328292,-0.3682361104532112,-0.12381505603300247,-0.15094823799091606,-0.16287438742979637,-0.17202951907440142,-0.026665580603010865,-0.030793757931175263,-0.5653982204722896,-0.9768322044753118,
GP_RANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W_RANK,0.03752195593310494,0.004958790967546869,,-0.3785289587612551,0.05237172913314417,-0.453406805877241,-0.22145415885868844,-0.009572686950437148,-0.33288858676002925,-0.13210197529181572,-0.0964411871811785,-0.10836523418639593,0.030925055948765944,-0.3635174700170209,-0.2875915298954317,-0.29613058437382905,0.10253989977023238,-0.13112277233627706,-0.15624939331354243,0.16205946823647638,0.09225143623866909,-0.0861616778588348,-0.4336739202564131,-0.8264882918805402,,1.0,1.0,1.0,0.005866860677140495,0.40379962088885407,-0.052347857259518946,0.46359435121937304,0.2503876003085002,0.013086560475258453,0.3366047189316636,0.13452294825806788,0.09795698817504077,0.11027850584068305,-0.02316589427367007,0.3693312907801773,0.2896854474069184,0.3101074724817818,0.10640405012352107,0.13440293298805212,0.15698380671044018,0.16615292381881888,0.09466724522088549,0.08615336959716473,0.4870107601392124,0.8730439593689927,
L_RANK,0.03752195593310494,0.004958790967546869,,-0.3785289587612551,0.05237172913314417,-0.453406805877241,-0.22145415885868844,-0.009572686950437148,-0.33288858676002925,-0.13210197529181572,-0.0964411871811785,-0.10836523418639593,0.030925055948765944,-0.3635174700170209,-0.2875915298954317,-0.29613058437382905,0.10253989977023238,-0.13112277233627706,-0.15624939331354243,0.16205946823647638,0.09225143623866909,-0.0861616778588348,-0.4336739202564131,-0.8264882918805402,,1.0,1.0,1.0,0.005866860677140495,0.40379962088885407,-0.052347857259518946,0.46359435121937304,0.2503876003085002,0.013086560475258453,0.3366047189316636,0.13452294825806788,0.09795698817504077,0.11027850584068305,-0.02316589427367007,0.3693312907801773,0.2896854474069184,0.3101074724817818,0.10640405012352107,0.13440293298805212,0.15698380671044018,0.16615292381881888,0.09466724522088549,0.08615336959716473,0.4870107601392124,0.8730439593689927,
W_PCT_RANK,0.03752195593310494,0.004958790967546869,,-0.3785289587612551,0.05237172913314417,-0.453406805877241,-0.22145415885868844,-0.009572686950437148,-0.33288858676002925,-0.13210197529181572,-0.0964411871811785,-0.10836523418639593,0.030925055948765944,-0.3635174700170209,-0.2875915298954317,-0.29613058437382905,0.10253989977023238,-0.13112277233627706,-0.15624939331354243,0.16205946823647638,0.09225143623866909,-0.0861616778588348,-0.4336739202564131,-0.8264882918805402,,1.0,1.0,1.0,0.005866860677140495,0.40379962088885407,-0.052347857259518946,0.46359435121937304,0.2503876003085002,0.013086560475258453,0.3366047189316636,0.13452294825806788,0.09795698817504077,0.11027850584068305,-0.02316589427367007,0.3693312907801773,0.2896854474069184,0.3101074724817818,0.10640405012352107,0.13440293298805212,0.15698380671044018,0.16615292381881888,0.09466724522088549,0.08615336959716473,0.4870107601392124,0.8730439593689927,
MIN_RANK,0.002291277078366774,-0.5885452526968934,,-0.17840473821621075,-0.22389741201976368,-0.04078781999781278,-0.3442815874998747,-0.4429190297054172,-0.01814710793840454,0.039877327335446085,0.06669720617895217,-0.06074730343746223,0.06466641091303989,-0.12402860874657284,-0.06596627138212138,-0.16293513982354574,0.054203990415546875,0.007676764088097692,-0.02022368438270162,-0.027510545683544448,0.07146691099683057,0.06329193989415689,-0.23586721317057846,0.01597234565876518,,0.005866860677140495,0.005866860677140495,0.005866860677140495,1.0,0.011263997681034695,0.024687010488392634,0.01020067621794762,0.010826241513274248,0.02175770843338073,0.012525942159389939,0.04394204537193527,0.047019072063209225,0.024345415816835803,0.030635072119013135,0.02243665771335328,0.025897629804700926,0.012883354535604767,0.019614768983884312,0.027644044639972835,0.027347829680362656,0.014217672244176681,0.014818736326933537,0.04990644277236969,0.02125999758306149,0.011692224798800105,
FGM_RANK,0.03342385906759094,0.004191781847433914,,-0.9285045048404832,-0.3553934283261428,-0.7768066505881457,-0.23778051377175013,-0.0011213695072979585,-0.3646828887877847,0.17739834648272917,0.18851218336618158,-0.0020826825905220048,-0.006709610894849623,-0.05612849432751282,-0.05122977912762192,-0.5620181504887237,0.1721272246423262,-0.07454256672964843,-0.04689483286544927,0.13545865974326302,-0.03643978705406447,0.1537075155599087,-0.7415368051395678,-0.4947009782487317,,0.40379962088885407,0.40379962088885407,0.40379962088885407,0.011263997681034695,1.0,0.3770445873190018,0.794602534005569,0.26844522046760233,0.0024697267282679574,0.3724151302195536,-0.16961505020048,-0.18028922892899724,0.007916838074012104,0.016766051072569628,0.05917407194547227,0.05468182476674059,0.5874426420140063,0.17761014053142601,0.07796493313421958,0.05268262037616631,0.13965579192300176,-0.02671882820589409,-0.15107757272277747,0.8271999844469149,0.49516642308775816,
